metric,surface,n,k,share,lo,hi,pv_share
M14 教师/医生/学者角色词,搜索top1000,1000,1,0.001,0.0001765418290572713,0.0056427029601604705,0.0003555739927255487
M14 教师/医生/学者角色词,搜索top10k,9982,29,0.002905229412943298,0.0020236271987114033,0.0041693009967448515,0.0015445552084385156
M14 教师/医生/学者角色词,助手top1k,889,4,0.0044994375703037125,0.0017510644786957429,0.011511758400524937,0.002449801860357149
M14 教师/医生/学者角色词,助手random1k,950,71,0.07473684210526316,0.05967340624936762,0.09322577533382187,
M15 历史/古代词,搜索top1000,1000,2,0.002,0.000548632102457155,0.007262958889587807,0.000730981749830278
M15 历史/古代词,搜索top10k,9982,54,0.0054097375275495895,0.004148769250004442,0.007051248182677448,0.0027340284409871486
M15 历史/古代词,助手top1k,889,7,0.007874015748031496,0.0038192650358999667,0.016163674827117166,0.006259223027308451
M15 历史/古代词,助手random1k,950,14,0.014736842105263158,0.008798352965667828,0.024584128989407317,
M16 时效/近况,搜索top1000,1000,18,0.018,0.011415645858738454,0.02827348437854201,0.009981640625093343
M16 时效/近况,搜索top10k,9982,145,0.01452614706471649,0.012358769788359545,0.017067052467823654,0.011476316263448217
M16 时效/近况,助手top1k,889,9,0.010123734533183352,0.005335075786751469,0.019127942065463296,0.008037505595994096
M16 时效/近况,助手random1k,950,66,0.06947368421052631,0.05497886169039483,0.08743639887278463,
M17 图片/影音资源,搜索top1000,1000,28,0.028,0.019442147463132154,0.040170444802420505,0.014339572685130865
M17 图片/影音资源,搜索top10k,9982,282,0.028250851532758966,0.025177472446042872,0.0316871988301368,0.02036826779861251
M17 图片/影音资源,助手top1k,889,17,0.019122609673790775,0.011972888685905837,0.030410441123099475,0.0239176932897813
M17 图片/影音资源,助手random1k,950,23,0.024210526315789474,0.016185983208602046,0.036067556582491146,
