层级,快照,n,类目数,前1条数,前1行占比%,前1流量占比%,前3条数,前3行占比%,前3流量占比%,前5条数,前5行占比%,前5流量占比%,前10条数,前10行占比%,前10流量占比%,流量有效n,单行最大流量%,前10之外类数,前10之外条数,前10之外行占比%,前10之外流量占比%,第10名条数,并列类数,并列需选,边界并列,前10流量占比%低,前10流量占比%高,前10流量摆动pp
自上而下 L1 意图,传统搜索随机1w,10000,20,1614,16.14,11.502909962341663,4255,42.55,47.00017117425539,6386,63.86,70.18144471071551,8927,89.27,87.13197535090721,244.9099293611105,4.031153714481342,10,1073,10.730000000000004,12.868024649092789,290,1,1,False,87.13197535090721,87.13197535090721,0.0
自上而下 L1 意图,健康管家随机1w,10316,20,1845,17.884839084916635,15.945330296127562,4399,42.64249709189608,41.47921412300684,6570,63.6874757658007,65.34738041002278,9120,88.40635905389686,89.95586560364467,1431.4979254315972,1.8935079726651478,10,1196,11.593640946103136,10.044134396355332,268,1,1,False,89.95586560364467,89.95586560364467,0.0
自上而下 L2 子意图,传统搜索随机1w,10000,51,749,7.49,6.906881205066757,2058,20.58,24.302464909277635,3122,31.22,38.711057856898314,5206,52.06,56.1665525504964,244.9099293611105,4.031153714481342,41,4794,47.94,43.8334474495036,345,1,1,False,56.1665525504964,56.1665525504964,0.0
自上而下 L2 子意图,健康管家随机1w,10316,51,705,6.834044203179527,6.869305239179955,1860,18.030244280728965,20.657744874715263,2850,27.626987204342768,29.89749430523918,4926,47.75106630476929,50.66201594533029,1431.4979254315972,1.8935079726651478,41,5390,52.24893369523071,49.33798405466971,383,1,1,False,50.66201594533029,50.66201594533029,0.0
自下而上 家族,传统搜索随机1w,10000,33,645,6.45,7.861177678877096,1817,18.17,21.182814104758645,2894,28.94,30.922629236562816,5093,50.93,57.06949674768914,244.9099293611105,4.031153714481342,23,4907,49.07,42.93050325231086,380,1,1,False,57.06949674768914,57.06949674768914,0.0
自下而上 家族,健康管家随机1w,10316,33,745,7.221791392012408,6.819476082004556,2088,20.240403257076387,21.94618451025057,3110,30.147343931756495,30.765945330296127,5320,51.57037611477317,54.4134396355353,1431.4979254315972,1.8935079726651478,23,4996,48.42962388522683,45.5865603644647,410,1,1,False,54.4134396355353,54.4134396355353,0.0
自下而上 叶,传统搜索随机1w,10000,33,645,6.45,7.861177678877096,1817,18.17,21.182814104758645,2894,28.94,30.922629236562816,5093,50.93,57.06949674768914,244.9099293611105,4.031153714481342,23,4907,49.07,42.93050325231086,380,1,1,False,57.06949674768914,57.06949674768914,0.0
自下而上 叶,健康管家随机1w,10316,33,745,7.221791392012408,6.819476082004556,2088,20.240403257076387,21.94618451025057,3110,30.147343931756495,30.765945330296127,5320,51.57037611477317,54.4134396355353,1431.4979254315972,1.8935079726651478,23,4996,48.42962388522683,45.5865603644647,410,1,1,False,54.4134396355353,54.4134396355353,0.0
