source,label,k,n,row_share,lo,hi,pv_share
2025search,人物资料查询,5835,9983,0.5844936391866172,0.5747958415102128,0.5941264355626601,0.6255511905353905
2025search,查询含“马”字人物信息,104,9983,0.01041771010718221,0.008605801047920341,0.012606256813767792,0.06076972032225804
2025search,查询习近平个人资料与讲话,47,9983,0.0047080036061304216,0.0035425270760431693,0.006254510283980765,0.009596413952593568
2025search,查询鹿晗关晓彤近况与感情动态,56,9983,0.005609536211559652,0.004322619647034093,0.007276789371147348,0.013103197816786687
2025search,肖战个人资料简介查询,14,9983,0.001402384052889913,0.0008355828167442807,0.002352758463368802,0.0053439098424925904
2025search,美女图片查询,56,9983,0.005609536211559652,0.004322619647034093,0.007276789371147348,0.009775133650487962
2025search,名称含义查询,491,9983,0.049183612140639085,0.04511223894288167,0.053601800219579186,0.03370217502575562
2025search,专名信息查询,1210,9983,0.12120605028548533,0.11494921587975393,0.12775429241773428,0.07272947373126845
2025search,查询中国中央党政军领导成员名单与职务,156,9983,0.015626565160773313,0.013373295292699025,0.01825246548278802,0.019642088438623743
2025search,省级党委书记任免查询,94,9983,0.009416007212260843,0.007701190429414634,0.011508232256542938,0.012148820565523771
2025search,查询女性人物及角色信息,63,9983,0.006310728238004608,0.004935961666047581,0.008065291975145251,0.005494902369718713
2025search,查询人物背景与个人生活,145,9983,0.014524691976359812,0.01235756718986703,0.017065294892316403,0.009938281930072275
2025search,官员职务及履历查询,80,9983,0.00801362315937093,0.006444012567535354,0.009961720872399434,0.006756589095888289
2025search,人物简历查询,70,9983,0.007011920264449564,0.005554067325354472,0.008849030938849754,0.006113037446247212
2025search,人名信息查询,214,9983,0.02143644195131724,0.018773998041810826,0.02446704675291348,0.028664971893589946
2025search,人物角色资料查询,316,9983,0.031653811479515175,0.028395539233539456,0.035272384353636575,0.018737137882899914
2025search,查询对象身份,92,9983,0.009215666633276571,0.007520888606854177,0.011288007043957285,0.006275382039725198
2025search,党委书记及常委任职查询,153,9983,0.015326054292296904,0.013095957792182696,0.017929012430585187,0.010511109202356607
2025search,人物及机构基本信息查询,81,9983,0.008113793448863068,0.006533404555701741,0.010072592401806104,0.004241754808428858
2025search,人物个人简介查询,77,9983,0.0077131122908945205,0.006176250871713169,0.009628692015502451,0.005496610202694658
2025search,鞠婧祎资料与送花影响力查询,7,9983,0.0007011920264449565,0.00033970389449544235,0.0014467927626062476,0.0008678805340695096
2025search,查询人物身份与归属信息,52,9983,0.005208855053591105,0.003974613375498377,0.006823741572390837,0.002847359413952091
2025search,百度送花明星影响力查询,12,9983,0.0012020434739056396,0.0006877737498478951,0.002100040495119075,0.001195081240107754
2025search,查询部长级官员任职信息,38,9983,0.003806471000701192,0.0027746220304670334,0.005220043671399396,0.003175765649149825
2025search,查询明星娱乐八卦动态,116,9983,0.01161975358108785,0.009697416516476131,0.01391780355608868,0.006671498829380956
2025search,查询女性人物资料,54,9983,0.005409195632575378,0.004148373552444391,0.007050508430590935,0.0028550948927254845
2025search,查询人物图片,90,9983,0.009015326054292297,0.007340808895837974,0.011067559719827376,0.0057150119020889295
2025search,查询人物个人资料简历,72,9983,0.007212260843433837,0.005731443720631594,0.009072181578718743,0.004313483793418513
2025search,查询人物配偶及亲属关系,67,9983,0.006711409395973154,0.005288629639480923,0.008513678072004134,0.0024735449137468996
2025search,列举特定对象的重要成果与相关条目,18,9983,0.0018030652108584593,0.001140867960565245,0.002848527389840062,0.0009018362720618115
2025search,人物年龄及属性查询,29,9983,0.0029049383952719624,0.0020234377177694874,0.004168856325939438,0.001170267431574918
2025search,领导班子成员名单查询,44,9983,0.0044074927376540115,0.003285028262328127,0.005911218544976638,0.0019153849129030292
2025search,查询习近平总书记个人信息与讲话,3,9983,0.0003005108684764099,0.00010220595748384608,0.0008832366293256193,0.0001754044927057951
2025search,查询个人背景与任职信息,25,9983,0.002504257237303416,0.0016968832485663833,0.003694356724850317,0.0010451937812778307
2025search,七一勋章获得者信息查询,2,9983,0.00020034057898427325,5.49423317100134e-05,0.0007302367375263959,8.529118803391755e-05
2026search,人物资料查询,6339,9982,0.6350430775395712,0.6255486769559696,0.6444335785305931,0.6416193844954561
2026search,查询习近平个人资料与讲话,85,9982,0.00851532758966139,0.006892321179035188,0.01051647302194658,0.03607435036313684
2026search,七一勋章获得者信息查询,87,9982,0.008715688238829894,0.007071830776614736,0.010737530569005848,0.024024687189993784
2026search,查询中国中央党政军领导成员名单与职务,190,9982,0.019034261671007816,0.016532807478387427,0.021905761816132237,0.036103512305440386
2026search,肖战个人资料简介查询,131,9982,0.013123622520536966,0.01107097314031017,0.015550865387364386,0.012472447103191396
2026search,查询含“马”字人物信息,50,9982,0.005009016229212583,0.0038017477824120885,0.0065971213873903785,0.009008470837672297
2026search,查询女性人物及角色信息,56,9982,0.005610098176718092,0.004323052932227898,0.00727751767149102,0.006722919667970089
2026search,美女图片查询,51,9982,0.005109196553796835,0.00388831374239887,0.006710838999723007,0.007624755945374929
2026search,鞠婧祎资料与送花影响力查询,108,9982,0.010819475055099179,0.008969882320117369,0.013045434044210793,0.009880888239361223
2026search,官员职务及履历查询,48,9982,0.004808655580044079,0.0036290277978304544,0.006369274227333195,0.006919216795017754
2026search,人物简历查询,99,9982,0.009917852133840914,0.008153689616944803,0.012059074596508682,0.00954533320281116
2026search,名称含义查询,294,9982,0.029453015427769985,0.02631298361009545,0.0329550772056427,0.018705394753779424
2026search,专名信息查询,744,9982,0.07453416149068323,0.06954397258688703,0.07985169577258495,0.05216146517820002
2026search,人物个人简介查询,141,9982,0.014125425766379483,0.011990248127579825,0.016634426123288817,0.010225307478637915
2026search,人名信息查询,163,9982,0.01632939290723302,0.014022705841187103,0.01900820700070853,0.02175737829256956
2026search,百度送花明星影响力查询,206,9982,0.02063714686435584,0.018027079286290174,0.023616027165340024,0.01887330073876064
2026search,领导班子成员名单查询,43,9982,0.004307753957122821,0.0031998368252723324,0.005797047338294276,0.0036723492629479673
2026search,人物角色资料查询,247,9982,0.024744540172310158,0.021875011095325664,0.02797972182140028,0.016961330750638673
2026search,查询人物个人资料简历,134,9982,0.013424163494289721,0.011346424914017657,0.015876264330615127,0.008478545674667316
2026search,查询部长级官员任职信息,36,9982,0.0036064916850330597,0.002606296937493862,0.004988602219836886,0.0035691904978829973
2026search,查询人物身份与归属信息,31,9982,0.003105590062111801,0.0021888058635014668,0.004404675432232237,0.002647698814432155
2026search,查询个人背景与任职信息,21,9982,0.0021037868162692847,0.001376470059180161,0.0032141755133594588,0.001522202001562669
2026search,查询明星娱乐八卦动态,98,9982,0.009817671809256662,0.008063241441543875,0.0119492391995902,0.006348824619565119
2026search,查询习近平总书记个人信息与讲话,14,9982,0.001402524544179523,0.0008356665434373218,0.0023529940228664385,0.0013451748804424598
2026search,查询女性人物资料,28,9982,0.002805049088359046,0.0019415016631253394,0.00405112891565014,0.0017119473265949975
2026search,查询对象身份,59,9982,0.005910639150470847,0.004585304836598719,0.007616116484078424,0.003482090071090906
2026search,查询鹿晗关晓彤近况与感情动态,6,9982,0.0006010819475055099,0.00027550944238887006,0.0013108825453596218,0.0004478349377540269
2026search,查询人物图片,64,9982,0.006411540773392106,0.005024492410535476,0.008178346771738712,0.003955232949962989
2026search,查询人物背景与个人生活,69,9982,0.0069124423963133645,0.005466050623459452,0.00873820642041178,0.00348568713886403
2026search,明星百度影响力查询,144,9982,0.014425966740132239,0.012266623441935614,0.016958901525891256,0.010876890612398219
2026search,党委书记及常委任职查询,66,9982,0.006611901422560609,0.005200846170610172,0.008402560156302832,0.0035939845721763212
2026search,查询人物配偶及亲属关系,38,9982,0.003806852334201563,0.0027749001143269865,0.005220566187642579,0.002080389839927915
2026search,人物及机构基本信息查询,43,9982,0.004307753957122821,0.0031998368252723324,0.005797047338294276,0.002063817634830304
2026search,列举特定对象的重要成果与相关条目,8,9982,0.0008014425966740132,0.00040616491171866626,0.0015807942206686426,0.00035495350918369946
2026search,人物年龄及属性查询,40,9982,0.004007212983370066,0.002944315888950067,0.005451717557658315,0.0016274162339265672
2026search,省级党委书记任免查询,1,9982,0.00010018032458425165,1.7684505910153412e-05,0.0005672896202412959,5.5626083777250036e-05
assistant_top,查询人物背景与个人生活,64,889,0.0719910011248594,0.0567786433010497,0.09088638453769948,0.06217356701099302
assistant_top,查询明星娱乐八卦动态,94,889,0.10573678290213723,0.08719186369810572,0.1276743446001376,0.1296032232926
assistant_top,人物个人简介查询,6,889,0.006749156355455568,0.003096762164625443,0.014645983452435037,0.013355772578799887
assistant_top,人名信息查询,38,889,0.04274465691788527,0.03129862838643068,0.058125376387423565,0.03754290262141235
assistant_top,人物角色资料查询,13,889,0.014623172103487065,0.008565501799735703,0.02485751925787342,0.00935567309446038
assistant_top,名称含义查询,28,889,0.031496062992125984,0.02187964198076296,0.04514396930659324,0.025285602958001027
assistant_top,百度送花明星影响力查询,2,889,0.0022497187851518562,0.0006171709853652306,0.008165417237096032,0.001231118701397755
assistant_top,人物资料查询,414,889,0.46569178852643417,0.4331196064272886,0.49855919343889227,0.4552610634875893
assistant_top,专名信息查询,36,889,0.04049493813273341,0.02939209082053477,0.05555183525601985,0.03255210492281673
assistant_top,列举特定对象的重要成果与相关条目,12,889,0.013498312710911136,0.007738206357633885,0.023444775351325428,0.009873820696058761
assistant_top,官员职务及履历查询,10,889,0.01124859392575928,0.0061213206453885035,0.0205815823662712,0.0074613254630166975
assistant_top,查询对象身份,42,889,0.047244094488188976,0.03514004927901041,0.06324411288944307,0.056163054832451806
assistant_top,查询中国中央党政军领导成员名单与职务,13,889,0.014623172103487065,0.008565501799735703,0.02485751925787342,0.016999386513239706
assistant_top,查询习近平个人资料与讲话,2,889,0.0022497187851518562,0.0006171709853652306,0.008165417237096032,0.005492364576942846
assistant_top,人物及机构基本信息查询,33,889,0.03712035995500562,0.026552109778512658,0.05167169825209256,0.038164679743330404
assistant_top,查询人物身份与归属信息,15,889,0.01687289088863892,0.010251452384469254,0.027651647370439472,0.02246273482449305
assistant_top,查询人物图片,15,889,0.01687289088863892,0.010251452384469254,0.027651647370439472,0.02139742335560677
assistant_top,人物简历查询,4,889,0.0044994375703037125,0.0017510927847105475,0.011511574135050325,0.004903748901527084
assistant_top,查询女性人物及角色信息,15,889,0.01687289088863892,0.010251452384469254,0.027651647370439472,0.013214836431165129
assistant_top,查询部长级官员任职信息,1,889,0.0011248593925759281,0.0001985929058943071,0.006343955967917149,0.0010445855648223376
assistant_top,美女图片查询,9,889,0.010123734533183352,0.005335136597433079,0.01912772706557682,0.015196232859677337
assistant_top,查询人物配偶及亲属关系,5,889,0.00562429696287964,0.0024046850925367744,0.0130980211758739,0.0027897066870056875
assistant_top,人物年龄及属性查询,2,889,0.0022497187851518562,0.0006171709853652306,0.008165417237096032,0.0010031337566944669
assistant_top,查询含“马”字人物信息,4,889,0.0044994375703037125,0.0017510927847105475,0.011511574135050325,0.0024539470411699357
assistant_top,查询个人背景与任职信息,3,889,0.003374578177727784,0.0011483104864453116,0.009874317084665754,0.002561721742302399
assistant_top,党委书记及常委任职查询,3,889,0.003374578177727784,0.0011483104864453116,0.009874317084665754,0.0028726103032614284
assistant_top,查询女性人物资料,1,889,0.0011248593925759281,0.0001985929058943071,0.006343955967917149,0.0004725506126577241
assistant_top,肖战个人资料简介查询,1,889,0.0011248593925759281,0.0001985929058943071,0.006343955967917149,0.005757656148961217
assistant_top,查询人物个人资料简历,1,889,0.0011248593925759281,0.0001985929058943071,0.006343955967917149,0.0005927608562285487
assistant_top,鞠婧祎资料与送花影响力查询,1,889,0.0011248593925759281,0.0001985929058943071,0.006343955967917149,0.0017990084727495812
assistant_top,领导班子成员名单查询,1,889,0.0011248593925759281,0.0001985929058943071,0.006343955967917149,0.0004974216975344465
assistant_top,查询鹿晗关晓彤近况与感情动态,1,889,0.0011248593925759281,0.0001985929058943071,0.006343955967917149,0.00046426025103214996
assistant_random,查询女性人物及角色信息,8,950,0.008421052631578947,0.004273137657740152,0.016528494203142542,0.0066555740432612314
assistant_random,查询人物背景与个人生活,269,950,0.2831578947368421,0.2554264172028118,0.3126359728685839,0.2562396006655574
assistant_random,列举特定对象的重要成果与相关条目,115,950,0.12105263157894737,0.10182221400589106,0.14333536087615983,0.10399334442595673
assistant_random,查询个人背景与任职信息,95,950,0.1,0.08250447343792722,0.12071741115979318,0.08236272878535769
assistant_random,查询中国中央党政军领导成员名单与职务,13,950,0.01368421052631579,0.008014342622745911,0.023271211809219414,0.013311148086522463
assistant_random,查询对象身份,42,950,0.04421052631578947,0.03287234190705155,0.059219963437193,0.03743760399334443
assistant_random,名称含义查询,8,950,0.008421052631578947,0.004273137657740152,0.016528494203142542,0.008319467554076539
assistant_random,专名信息查询,34,950,0.035789473684210524,0.025722786546437025,0.04959524268407533,0.03993344425956739
assistant_random,查询明星娱乐八卦动态,43,950,0.045263157894736845,0.033775620103271495,0.06041346975518959,0.03743760399334443
