source,label,k,n,row_share,lo,hi,pv_share
2025search,1,1867,9988,0.1869243091710052,0.17939967320271977,0.19468967501836293,0.186099303155592
2025search,4,1410,9988,0.14116940328394073,0.1344786594364872,0.1481360588316166,0.13745752771301578
2025search,15,235,9988,0.02352823388065679,0.020733770879081525,0.026689065124798402,0.02995154564387422
2025search,3,868,9988,0.0869042851421706,0.08153745165898378,0.09258875581149502,0.09406930960217019
2025search,19,152,9988,0.015218261914297157,0.012997047860954613,0.017812233906388655,0.027701544432111386
2025search,24,1244,9988,0.12454945935122147,0.1182176092550645,0.13117000053996594,0.10234904262658479
2025search,17,422,9988,0.04225070084100921,0.0384784785418529,0.04637489532024817,0.05072148358546079
2025search,20,991,9988,0.09921906287545054,0.09350930211794345,0.10523699175125836,0.10340796176645937
2025search,5,199,9988,0.019923908690428514,0.017362319915525552,0.022854637142386662,0.0343882132637943
2025search,25,250,9988,0.0250300360432519,0.02214417138891655,0.028281114175783252,0.02241308833104714
2025search,22,91,9988,0.009110933119743692,0.007427097830299521,0.01117222238970957,0.01637980201411138
2025search,26,103,9988,0.010312374849819783,0.00851085367266803,0.012490426195996966,0.015672132524845183
2025search,0,311,9988,0.031137364837805367,0.027907227195969966,0.034728019916064,0.02465727308125435
2025search,14,28,9988,0.002803364036844213,0.0019403349499063818,0.004048697114659217,0.005472967187078407
2025search,23,243,9988,0.024329195034040848,0.021485609629253763,0.027538532807063427,0.02084070489051319
2025search,16,196,9988,0.01962354825790949,0.01708233553135175,0.02253413161439649,0.023473300017934087
2025search,11,299,9988,0.029935923107729277,0.026770410860881187,0.03346287660249689,0.019444107843659977
2025search,18,561,9988,0.05616740088105727,0.05182025766802743,0.06085581545767119,0.04879074148575047
2025search,13,243,9988,0.024329195034040848,0.021485609629253763,0.027538532807063427,0.017725343453976437
2025search,12,221,9988,0.02212655186223468,0.019420241486092442,0.025200308261022264,0.015208431284161614
2025search,21,54,9988,0.005406487785342411,0.0041462957324063495,0.007046982237580373,0.0037761760966049636
2026search,4,1133,9995,0.11335667833916958,0.10728944729446137,0.11972099868727275,0.12605674371308653
2026search,15,226,9995,0.022611305652826413,0.019875080333848362,0.025714347276927764,0.02654161419821631
2026search,19,192,9995,0.0192096048024012,0.01669756334358723,0.02209107636794681,0.03487775649603569
2026search,17,631,9995,0.06313156578289145,0.058529554796577524,0.06806925808458227,0.06854700064596787
2026search,3,1111,9995,0.11115557778889444,0.10514214935360194,0.1174677868109755,0.12387251547560933
2026search,20,982,9995,0.09824912456228115,0.09256723778838388,0.1042397089937751,0.11653407226948921
2026search,24,1253,9995,0.12536268134067033,0.11901461873720565,0.13199860806538288,0.09199969336253905
