层级,快照,名次,key,条数,行占比%,流量占比%
自上而下 L1 意图,助手随机1k,8,RESULT_INTERPRETATION,61,6.112224448897796,5.294619982920581
自上而下 L1 意图,助手随机1k,9,DOSAGE_ADMINISTRATION,30,3.006012024048096,2.6473099914602907
自上而下 L1 意图,助手随机1k,10,RECOVERY_TIMING,28,2.80561122244489,2.8181041844577286
自上而下 L1 意图,助手语音头部1k,1,SUBSTANCE_EFFICACY_LOOKUP,510,47.79756326148079,41.29213483146067
自上而下 L1 意图,助手语音头部1k,2,DISEASE_CONCEPT_INFO,281,26.33552014995314,27.39357493274252
自上而下 L1 意图,助手语音头部1k,3,NON_HEALTH_OTHER,108,10.121836925960638,10.820541224877354
自上而下 L1 意图,助手语音头部1k,4,SYMPTOM_ATTRIBUTION_DIFFERENTIATION,66,6.185567010309279,8.343883525874348
自上而下 L1 意图,助手语音头部1k,5,PERMISSION_CHECK,30,2.8116213683223994,1.8832093685709763
自上而下 L1 意图,助手语音头部1k,6,TREATMENT_SEEKING,26,2.436738519212746,1.8238645355277734
自上而下 L1 意图,助手语音头部1k,7,REPRODUCTIVE_HEALTH,11,1.0309278350515463,1.6260484253837633
自上而下 L1 意图,助手语音头部1k,8,CARE_NAVIGATION_COST,10,0.9372071227741331,0.858521918025004
自上而下 L1 意图,助手语音头部1k,9,REFERENCE_VALUE_CALCULATOR,7,0.6560449859418932,0.664662130083874
自上而下 L1 意图,助手语音头部1k,10,EFFICACY_AUTHENTICITY_CHECK,5,0.46860356138706655,3.6121221712296245
自上而下 L1 意图,助手语音1k,1,SUBSTANCE_EFFICACY_LOOKUP,247,24.7,24.7
自上而下 L1 意图,助手语音1k,2,SYMPTOM_ATTRIBUTION_DIFFERENTIATION,163,16.3,16.3
自上而下 L1 意图,助手语音1k,3,PERMISSION_CHECK,156,15.6,15.6
自上而下 L1 意图,助手语音1k,4,DISEASE_CONCEPT_INFO,104,10.4,10.4
自上而下 L1 意图,助手语音1k,5,TREATMENT_SEEKING,80,8.0,8.0
自上而下 L1 意图,助手语音1k,6,NON_HEALTH_OTHER,61,6.1,6.1
自上而下 L1 意图,助手语音1k,7,CARE_NAVIGATION_COST,40,4.0,4.0
自上而下 L1 意图,助手语音1k,8,RESULT_INTERPRETATION,40,4.0,4.0
自上而下 L1 意图,助手语音1k,9,COMPARISON_DIFFERENCE_VERDICT,26,2.6,2.6
自上而下 L1 意图,助手语音1k,10,DOSAGE_ADMINISTRATION,23,2.3,2.3
自上而下 L2 子意图,2025搜索,1,SUBSTANCE_EFFICACY_LOOKUP__2,3063,30.63612722544509,35.09114752655816
自上而下 L2 子意图,2025搜索,2,SUBSTANCE_EFFICACY_LOOKUP__1,1066,10.662132426485297,9.20047603769855
自上而下 L2 子意图,2025搜索,3,DISEASE_CONCEPT_INFO__2,592,5.9211842368473695,7.545158458730807
自上而下 L2 子意图,2025搜索,4,DISEASE_CONCEPT_INFO__5,585,5.851170234046809,5.479779037420688
