key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2025搜索随机1w_n,2025搜索随机1w_置信度均值,2025搜索随机1w_意图歧义%,2025搜索随机1w_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,2026搜索随机1w_n,2026搜索随机1w_置信度均值,2026搜索随机1w_意图歧义%,2026搜索随机1w_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,助手语音头部1k_n,助手语音头部1k_置信度均值,助手语音头部1k_意图歧义%,助手语音头部1k_聚类歧义%,助手语音1k_n,助手语音1k_置信度均值,助手语音1k_意图歧义%,助手语音1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
COMPARISON_DIFFERENCE_VERDICT__5,COMPARISON_DIFFERENCE_VERDICT__5,114,6,0.8005,0.0,0.0,48,0.7579,6.25,33.33,11,0.7184,0.0,9.09,39,0.7239,0.0,20.51,2,0.5225,50.0,100.0,2,0.904,0.0,50.0,0,,,,6,0.8932,0.0,16.67,2026搜索随机1w,0.034,0.7503
DISEASE_CONCEPT_INFO__5,DISEASE_CONCEPT_INFO__5,1634,585,0.8035,1.2,15.21,201,0.6737,3.48,29.85,370,0.8072,1.08,10.54,156,0.6339,1.92,29.49,67,0.7626,0.0,10.45,7,0.7035,0.0,57.14,225,0.7811,0.89,11.11,23,0.6249,4.35,39.13,助手语音1k,0.1823,0.7645
SYMPTOM_ATTRIBUTION_DIFFERENTIATION__3,SYMPTOM_ATTRIBUTION_DIFFERENTIATION__3,1439,127,0.8459,2.36,14.96,507,0.7693,1.78,25.84,113,0.8357,1.77,14.16,538,0.7537,2.6,27.7,24,0.6685,8.33,33.33,53,0.709,0.0,30.19,24,0.6195,4.17,25.0,53,0.7189,0.0,33.96,助手语音头部1k,0.2264,0.7672
SUBSTANCE_EFFICACY_LOOKUP__1,SUBSTANCE_EFFICACY_LOOKUP__1,3065,1066,0.8343,0.66,14.54,419,0.6697,2.15,27.92,641,0.7967,0.94,14.51,435,0.6473,2.53,25.98,91,0.7985,1.1,14.29,44,0.5398,4.55,25.0,315,0.8448,0.95,13.33,54,0.6521,3.7,29.63,助手随机1k,0.305,0.77
SYMPTOM_ATTRIBUTION_DIFFERENTIATION__2,SYMPTOM_ATTRIBUTION_DIFFERENTIATION__2,774,146,0.8441,0.68,26.71,226,0.7825,0.88,26.11,149,0.8309,2.01,20.81,212,0.7599,3.3,29.25,8,0.6854,0.0,25.0,8,0.6901,12.5,25.0,15,0.6711,0.0,33.33,10,0.8891,0.0,30.0,2026搜索随机1w,0.0842,0.7945
DISEASE_CONCEPT_INFO__6,DISEASE_CONCEPT_INFO__6,471,167,0.8576,0.0,17.96,57,0.633,7.02,19.3,151,0.8633,0.0,15.89,56,0.6609,3.57,21.43,21,0.8553,0.0,9.52,5,0.7175,0.0,0.0,11,0.8495,0.0,36.36,3,0.6472,0.0,33.33,2025搜索随机1w,0.2303,0.8057
CARE_NAVIGATION_COST__4,CARE_NAVIGATION_COST__4,259,37,0.7612,0.0,10.81,83,0.8307,2.41,24.1,36,0.7701,0.0,5.56,88,0.8463,1.14,31.82,7,0.8143,0.0,42.86,5,0.7641,20.0,20.0,1,0.3041,0.0,0.0,2,0.6504,0.0,50.0,2025搜索,0.0851,0.8125
SYMPTOM_ATTRIBUTION_DIFFERENTIATION__4,SYMPTOM_ATTRIBUTION_DIFFERENTIATION__4,1027,161,0.8968,0.62,19.25,337,0.8223,1.19,21.07,122,0.888,0.82,19.67,323,0.7943,1.24,23.22,13,0.8021,0.0,23.08,24,0.7414,8.33,50.0,10,0.7029,0.0,20.0,37,0.7149,5.41,24.32,助手语音1k,0.1819,0.8258
SYMPTOM_ATTRIBUTION_DIFFERENTIATION__5,SYMPTOM_ATTRIBUTION_DIFFERENTIATION__5,738,127,0.8991,0.79,23.62,207,0.8436,0.48,28.5,106,0.8933,0.0,25.47,235,0.8213,0.85,33.62,13,0.7154,0.0,15.38,28,0.7185,0.0,39.29,3,0.6371,0.0,33.33,19,0.7328,0.0,42.11,助手随机1k,0.1806,0.8425
PERMISSION_CHECK__2,PERMISSION_CHECK__2,1681,85,0.8214,1.18,15.29,584,0.8571,0.68,9.25,103,0.8261,0.97,22.33,711,0.8357,0.98,11.67,8,0.7705,0.0,12.5,59,0.8517,0.0,15.25,26,0.8483,0.0,46.15,105,0.8495,0.0,8.57,2025搜索,0.0357,0.8431
