key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2025搜索随机1w_条数,2025搜索随机1w_占比%,2025搜索随机1w_95CI低%,2025搜索随机1w_95CI高%,2025搜索随机1w_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,2026搜索随机1w_条数,2026搜索随机1w_占比%,2026搜索随机1w_95CI低%,2026搜索随机1w_95CI高%,2026搜索随机1w_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音头部1k_条数,助手语音头部1k_占比%,助手语音头部1k_95CI低%,助手语音头部1k_95CI高%,助手语音头部1k_流量占比%,助手语音随机1k_条数,助手语音随机1k_占比%,助手语音随机1k_95CI低%,助手语音随机1k_95CI高%,助手语音随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2025搜索随机1w_均衡归属%,2025搜索随机1w_指数,2025搜索随机1w_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,2026搜索随机1w_均衡归属%,2026搜索随机1w_指数,2026搜索随机1w_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音头部1k_均衡归属%,助手语音头部1k_指数,助手语音头部1k_均衡指数,助手语音随机1k_均衡归属%,助手语音随机1k_指数,助手语音随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2025搜索随机1w_排名,2026搜索_排名,2026搜索随机1w_排名,助手头部1k_排名,助手随机1k_排名,助手语音头部1k_排名,助手语音随机1k_排名,主导叶,主导叶占比%,代表串(流量最高，仅供辨识)
REVERSE_ENTITY_RESOLUTION__2,REVERSE_ENTITY_RESOLUTION__2,,238,0.543,37,0.371,0.269,0.51,0.19,87,0.87,0.706,1.072,0.56,19,0.19,0.122,0.297,0.098,59,0.59,0.458,0.76,0.328,7,0.787,0.382,1.616,1.022,12,1.263,0.724,2.195,1.082,7,0.701,0.34,1.439,0.591,10,1.0,0.544,1.831,0.991,6.42,0.6821,0.5137,15.07,1.6013,1.2059,3.3,0.3503,0.2638,10.22,1.0858,0.8177,13.64,1.4491,1.0913,21.88,2.3247,1.7506,12.14,1.2896,0.9711,17.32,1.8404,1.3859,8,,,助手随机1k,2026搜索,1.073,6.64,23,27,30,36,20,25,14,24,查询实体百科信息,81.9,田栩宁的代表作品有哪些 / 作者是谁 / 关洁老师有哪些代表作品
SINGLE_ATTRIBUTE_FACTOID__1,SINGLE_ATTRIBUTE_FACTOID__1,,220,0.502,20,0.2,0.13,0.309,0.098,71,0.71,0.563,0.895,0.609,29,0.291,0.202,0.417,0.124,72,0.72,0.572,0.906,0.451,1,0.112,0.02,0.634,0.048,12,1.263,0.724,2.195,0.998,2,0.2,0.055,0.727,0.178,13,1.3,0.761,2.211,1.239,4.18,0.3989,0.3341,14.8,1.4138,1.1842,6.06,0.5784,0.4845,15.01,1.4335,1.2008,2.35,0.224,0.1876,26.33,2.5149,2.1067,4.17,0.3986,0.3339,27.1,2.5883,2.1681,8,,,助手语音随机1k,助手头部1k,1.188,11.56,31,32,25,31,37,25,23,21,查询实体百科信息,94.5,罗晋几岁了 / 韩红多少岁 / 胡景涛今年多少岁
PORTRAIT_IMAGE_REQUEST__4,PORTRAIT_IMAGE_REQUEST__4,,199,0.454,47,0.471,0.354,0.625,0.261,59,0.59,0.458,0.76,0.6,30,0.301,0.211,0.429,0.142,56,0.56,0.432,0.726,0.307,1,0.112,0.02,0.634,0.046,4,0.421,0.164,1.078,0.333,0,0.0,0.0,0.383,0.0,2,0.2,0.055,0.726,0.165,17.73,1.0363,1.4186,22.22,1.2988,1.778,11.32,0.6615,0.9056,21.09,1.2326,1.6874,4.24,0.2476,0.3389,15.86,0.9268,1.2687,0.0,0.0,0.0,7.53,0.4402,0.6027,7,助手语音头部1k,,2025搜索随机1w,助手语音头部1k,0.59,inf,19,37,23,37,37,37,35,41,人物及角色图片查询,92.5,刘浩存图片 / 邓超现在你有梦想吗图片 / 李强的图片
SINGLE_ATTRIBUTE_FACTOID__6,SINGLE_ATTRIBUTE_FACTOID__6,,198,0.452,24,0.24,0.162,0.357,0.086,40,0.4,0.294,0.544,2.576,61,0.611,0.476,0.784,0.382,56,0.56,0.432,0.726,0.292,0,0.0,0.0,0.43,0.0,4,0.421,0.164,1.078,0.333,3,0.3,0.102,0.879,0.158,10,1.0,0.544,1.831,0.991,6.8,0.5318,0.5444,11.32,0.885,0.9059,17.3,1.3519,1.3838,15.85,1.2388,1.2681,0.0,0.0,0.0,11.92,0.9315,0.9534,8.5,0.6643,0.68,28.31,2.2122,2.2644,7,助手头部1k,,助手语音随机1k,助手头部1k,1.0,inf,28,39,18,37,42,37,21,24,查询实体百科信息,95.5,关婷娜个人简历资料多高 / 冯琳身高个人简介 / 特朗普的身高是多少
PORTRAIT_IMAGE_REQUEST__3,PORTRAIT_IMAGE_REQUEST__3,,194,0.443,23,0.23,0.154,0.345,0.073,66,0.66,0.519,0.839,0.622,22,0.22,0.146,0.333,0.09,66,0.66,0.519,0.839,0.571,0,0.0,0.0,0.43,0.0,6,0.632,0.29,1.371,0.499,4,0.4,0.156,1.025,0.423,7,0.7,0.339,1.438,0.578,6.58,0.5202,0.5262,18.84,1.4903,1.5075,6.29,0.4976,0.5034,18.84,1.4902,1.5074,0.0,0.0,0.0,18.03,1.426,1.4424,11.43,0.904,0.9145,19.98,1.5805,1.5987,7,助手头部1k,,助手语音随机1k,助手头部1k,0.7,inf,29,33,26,34,42,33,17,30,人物照片查询,57.7,老A8阿姨高级感照片 / AlessandraAmbrosio最新照片 / 四大美人图片
PRIVATE_INDIVIDUAL_DATA_PROBE__1,PRIVATE_INDIVIDUAL_DATA_PROBE__1,,189,0.431,1,0.01,0.002,0.057,0.004,81,0.81,0.652,1.006,0.51,1,0.01,0.002,0.057,0.006,83,0.83,0.67,1.028,0.295,0,0.0,0.0,0.43,0.0,17,1.789,1.12,2.847,1.498,2,0.2,0.055,0.727,0.168,4,0.4,0.156,1.024,0.33,0.25,0.0232,0.0198,20.0,1.8774,1.6002,0.25,0.0232,0.0198,20.49,1.9236,1.6396,0.0,0.0,0.0,44.19,4.1472,3.5349,4.94,0.464,0.3955,9.88,0.927,0.7902,7,助手头部1k,,助手随机1k,助手头部1k,1.789,inf,47,29,47,27,42,20,23,35,查询实体百科信息,43.4,张雪峰谈深圳信息职业技术学院 / 张雪峰谈应急管理大学 / 国际钢琴大赛获奖的中国钢琴家
PORTRAIT_IMAGE_REQUEST__2,PORTRAIT_IMAGE_REQUEST__2,,183,0.418,16,0.16,0.099,0.26,0.079,76,0.76,0.608,0.95,0.244,11,0.11,0.062,0.197,0.04,68,0.68,0.537,0.861,0.255,1,0.112,0.02,0.634,0.054,4,0.421,0.164,1.078,0.333,0,0.0,0.0,0.383,0.0,7,0.7,0.339,1.438,0.578,5.44,0.3836,0.4355,25.82,1.8193,2.0654,3.74,0.2638,0.2994,23.1,1.6276,1.8478,3.82,0.2692,0.3057,14.3,1.0078,1.1441,0.0,0.0,0.0,23.78,1.6755,1.9021,7,助手语音头部1k,,2025搜索随机1w,助手语音头部1k,0.76,inf,35,30,35,33,37,37,35,30,人物照片查询,82.5,黄明照片 / 谢界鹏的照片 / 林微因年轻照片
PRIVATE_INDIVIDUAL_DATA_PROBE__2,PRIVATE_INDIVIDUAL_DATA_PROBE__2,,160,0.365,4,0.04,0.016,0.103,0.017,65,0.65,0.51,0.828,0.231,0,0.0,0.0,0.038,0.0,71,0.71,0.563,0.895,0.249,0,0.0,0.0,0.43,0.0,16,1.684,1.039,2.718,1.498,0,0.0,0.0,0.383,0.0,4,0.4,0.156,1.024,0.33,1.15,0.1097,0.092,18.66,1.7796,1.4925,0.0,0.0,0.0,20.38,1.9437,1.6301,0.0,0.0,0.0,48.34,4.6107,3.8669,0.0,0.0,0.0,11.48,1.095,0.9184,5,2026搜索 / 助手头部1k / 助手语音头部1k,,助手随机1k,2026搜索,1.684,inf,44,34,49,32,42,21,35,35,查询实体百科信息,75.0,圆明基王群林与安徽综研科技有限公司 / 韩寒重庆成立影业公司 / 武汉城市规划管理局房静
RELATION_AND_FAMILY_LOOKUP__1,RELATION_AND_FAMILY_LOOKUP__1,,154,0.352,14,0.14,0.084,0.235,0.061,42,0.42,0.311,0.567,0.338,33,0.331,0.236,0.464,0.214,49,0.49,0.371,0.647,0.273,8,0.9,0.457,1.766,1.023,5,0.526,0.225,1.226,0.499,0,0.0,0.0,0.383,0.0,3,0.3,0.102,0.878,0.248,4.51,0.3989,0.3611,13.52,1.1947,1.0815,10.64,0.9403,0.8512,15.77,1.3937,1.2616,28.96,2.5595,2.317,16.94,1.497,1.3551,0.0,0.0,0.0,9.66,0.8533,0.7724,7,助手语音头部1k,,助手头部1k,助手语音头部1k,0.9,inf,37,38,22,39,19,35,35,39,查询实体百科信息,86.4,孙宇晨的家族背景如何 / 路征的家族背景如何 / 夏凤俭家族财富来源有哪些传闻
SINGLE_ATTRIBUTE_FACTOID__5,SINGLE_ATTRIBUTE_FACTOID__5,,90,0.205,2,0.02,0.005,0.073,0.005,26,0.26,0.178,0.381,0.139,13,0.13,0.076,0.223,0.052,33,0.33,0.235,0.463,0.163,3,0.337,0.115,0.987,0.318,9,0.947,0.499,1.791,1.248,0,0.0,0.0,0.383,0.0,4,0.4,0.156,1.024,0.33,0.83,0.0975,0.0661,10.72,1.2655,0.8578,5.37,0.6338,0.4296,13.61,1.6061,1.0886,13.92,1.6424,1.1132,39.06,4.6107,3.1252,0.0,0.0,0.0,16.49,1.9468,1.3195,7,助手语音头部1k,,助手随机1k,助手语音头部1k,0.947,inf,46,43,33,40,29,30,35,35,查询实体百科信息,96.7,梓渝的粉丝群体规模有多大 / 袁良臣涉案金额大概有多少 / 胡志标现在有哪些收入来源
SINGLE_ATTRIBUTE_FACTOID__3,SINGLE_ATTRIBUTE_FACTOID__3,,88,0.201,18,0.18,0.114,0.285,0.084,5,0.05,0.021,0.117,0.013,43,0.431,0.32,0.58,0.537,10,0.1,0.054,0.184,0.335,0,0.0,0.0,0.43,0.0,0,0.0,0.0,0.403,0.0,10,1.001,0.545,1.833,0.61,2,0.2,0.055,0.726,0.165,9.19,0.8975,0.7352,2.55,0.2489,0.2039,21.95,2.1442,1.7564,5.1,0.4978,0.4077,0.0,0.0,0.0,0.0,0.0,0.0,51.02,4.9825,4.0814,10.19,0.9955,0.8155,6,助手头部1k / 助手随机1k,,助手语音头部1k,助手头部1k,1.001,inf,33,46,20,46,42,45,10,41,查询实体百科信息,78.4,习近平身高 / 习近平身高 / 习近平多大岁数
EVALUATION_OPINION_LOOKUP__2,EVALUATION_OPINION_LOOKUP__2,,65,0.148,0,0.0,0.0,0.038,0.0,39,0.39,0.285,0.533,0.571,0,0.0,0.0,0.038,0.0,13,0.13,0.076,0.222,0.78,0,0.0,0.0,0.43,0.0,7,0.737,0.357,1.513,0.582,2,0.2,0.055,0.727,0.125,4,0.4,0.156,1.024,0.495,0.0,0.0,0.0,21.0,2.6284,1.6802,0.0,0.0,0.0,7.0,0.876,0.56,0.0,0.0,0.0,39.68,4.9654,3.1742,10.78,1.3491,0.8624,21.54,2.6955,1.7231,5,2025搜索 / 2026搜索 / 助手头部1k,,助手随机1k,2025搜索,0.737,inf,50,41,49,44,42,32,23,35,查询实体百科信息,61.5,张雪峰点评新疆大学 / 张雪峰评价武夷学院 / 张雪峰评价河南检察学院
