层级,快照,名次,key,条数,行占比%,流量占比%
自上而下 L1 意图,助手随机1k,3,PERSON_LIST_LOOKUP,97,10.210526315789474,8.48585690515807
自上而下 L1 意图,助手随机1k,4,RELATION_AND_FAMILY_LOOKUP,97,10.210526315789474,8.6522462562396
自上而下 L1 意图,助手随机1k,5,BARE_NAME_DEFAULT_LOOKUP,96,10.105263157894736,21.547420965058237
自上而下 L1 意图,助手随机1k,6,SINGLE_ATTRIBUTE_FACTOID,70,7.368421052631579,6.4891846921797
自上而下 L1 意图,助手随机1k,7,EVALUATION_OPINION_LOOKUP,64,6.7368421052631575,5.990016638935108
自上而下 L1 意图,助手随机1k,8,BIO_PROFILE_LOOKUP,57,6.0,5.657237936772047
自上而下 L1 意图,助手随机1k,9,FICTIONAL_PLOT_SETTING_LOOKUP,50,5.2631578947368425,4.242928452579035
自上而下 L1 意图,助手随机1k,10,REVERSE_ENTITY_RESOLUTION,34,3.5789473684210527,2.9118136439267883
自上而下 L1 意图,助手语音头部1k,1,BARE_NAME_DEFAULT_LOOKUP,665,66.56656656656656,66.354556803995
自上而下 L1 意图,助手语音头部1k,2,OUT_OF_SCOPE_OR_UNPARSEABLE,210,21.02102102102102,22.64957264957265
自上而下 L1 意图,助手语音头部1k,3,BIO_PROFILE_LOOKUP,21,2.1021021021021022,1.7862287525208875
自上而下 L1 意图,助手语音头部1k,4,POST_TENURE_AND_MOVE_RESOLUTION,19,1.901901901901902,2.1127436857773936
自上而下 L1 意图,助手语音头部1k,5,SINGLE_ATTRIBUTE_FACTOID,19,1.901901901901902,1.1572073369826177
自上而下 L1 意图,助手语音头部1k,6,PERSON_LIST_LOOKUP,16,1.6016016016016017,1.6229712858926344
自上而下 L1 意图,助手语音头部1k,7,REVERSE_ENTITY_RESOLUTION,16,1.6016016016016017,1.1908191683472582
自上而下 L1 意图,助手语音头部1k,8,FICTIONAL_PLOT_SETTING_LOOKUP,8,0.8008008008008008,0.46576394891001627
自上而下 L1 意图,助手语音头部1k,9,EVALUATION_OPINION_LOOKUP,7,0.7007007007007007,0.6194180351483722
自上而下 L1 意图,助手语音头部1k,10,ADULT_SEXUALIZED_IMAGE_BROWSE,6,0.6006006006006006,0.6482281763180641
自上而下 L1 意图,助手语音随机1k,1,BARE_NAME_DEFAULT_LOOKUP,285,28.5,31.379025598678783
自上而下 L1 意图,助手语音随机1k,2,OUT_OF_SCOPE_OR_UNPARSEABLE,174,17.4,18.662262592898436
自上而下 L1 意图,助手语音随机1k,3,POST_TENURE_AND_MOVE_RESOLUTION,100,10.0,9.083402146985962
自上而下 L1 意图,助手语音随机1k,4,FICTIONAL_PLOT_SETTING_LOOKUP,74,7.4,6.688687035507845
自上而下 L1 意图,助手语音随机1k,5,RELATION_AND_FAMILY_LOOKUP,71,7.1,6.440957886044592
自上而下 L1 意图,助手语音随机1k,6,SINGLE_ATTRIBUTE_FACTOID,67,6.7,6.1932287365813385
自上而下 L1 意图,助手语音随机1k,7,PERSON_LIST_LOOKUP,60,6.0,5.202312138728324
自上而下 L1 意图,助手语音随机1k,8,REVERSE_ENTITY_RESOLUTION,49,4.9,4.706853839801816
自上而下 L1 意图,助手语音随机1k,9,BIO_PROFILE_LOOKUP,48,4.8,4.21139554087531
自上而下 L1 意图,助手语音随机1k,10,EVALUATION_OPINION_LOOKUP,28,2.8,2.8901734104046244
自上而下 L2 子意图,2025搜索,1,BARE_NAME_DEFAULT_LOOKUP__1,3063,30.68215967144145,47.32886383397453
自上而下 L2 子意图,2025搜索,2,BARE_NAME_DEFAULT_LOOKUP__4,1458,14.60482820795352,13.758312500282546
自上而下 L2 子意图,2025搜索,3,BARE_NAME_DEFAULT_LOOKUP__2,1439,14.414504657918462,10.409523278516918
自上而下 L2 子意图,2025搜索,4,OUT_OF_SCOPE_OR_UNPARSEABLE__1,907,9.085445256936792,5.8705050715104825
自上而下 L2 子意图,2025搜索,5,BIO_PROFILE_LOOKUP__4,543,5.439246719423019,3.41835830034453
自上而下 L2 子意图,2025搜索,6,BARE_NAME_DEFAULT_LOOKUP__3,408,4.086947811279175,4.196065253284188
自上而下 L2 子意图,2025搜索,7,BIO_PROFILE_LOOKUP__2,288,2.884904337373535,1.6593003811983664
自上而下 L2 子意图,2025搜索,8,BARE_NAME_DEFAULT_LOOKUP__5,266,2.6645297004908346,2.137704582065644
自上而下 L2 子意图,2025搜索,9,BIO_PROFILE_LOOKUP__1,179,1.7930481819092456,0.7701020731585416
自上而下 L2 子意图,2025搜索,10,POST_TENURE_AND_MOVE_RESOLUTION__4,177,1.7730141240108184,1.4427069755433295
自上而下 L2 子意图,2025搜索随机1w,1,BARE_NAME_DEFAULT_LOOKUP__5,1550,15.5015501550155,7.569101722797692
自上而下 L2 子意图,2025搜索随机1w,2,OUT_OF_SCOPE_OR_UNPARSEABLE__1,1298,12.98129812981298,12.961657356689622
自上而下 L2 子意图,2025搜索随机1w,3,BARE_NAME_DEFAULT_LOOKUP__1,727,7.27072707270727,10.97131080861218
自上而下 L2 子意图,2025搜索随机1w,4,BIO_PROFILE_LOOKUP__2,513,5.1305130513051305,4.604371169803134
自上而下 L2 子意图,2025搜索随机1w,5,POST_TENURE_AND_MOVE_RESOLUTION__6,429,4.29042904290429,1.4100547752047288
自上而下 L2 子意图,2025搜索随机1w,6,PERSON_LIST_LOOKUP__1,424,4.24042404240424,1.8366867328307752
自上而下 L2 子意图,2025搜索随机1w,7,BARE_NAME_DEFAULT_LOOKUP__4,417,4.17041704170417,5.685413164126759
自上而下 L2 子意图,2025搜索随机1w,8,BARE_NAME_DEFAULT_LOOKUP__2,377,3.77037703770377,12.301824032395102
自上而下 L2 子意图,2025搜索随机1w,9,BIO_PROFILE_LOOKUP__1,310,3.1003100310031004,2.153045175985682
自上而下 L2 子意图,2025搜索随机1w,10,PERSON_LIST_LOOKUP__2,299,2.99029902990299,2.2850118408445863
自上而下 L2 子意图,2026搜索,1,BARE_NAME_DEFAULT_LOOKUP__1,2262,22.660789420957723,30.29548113222333
自上而下 L2 子意图,2026搜索,2,BARE_NAME_DEFAULT_LOOKUP__4,1089,10.909637347225004,11.795979968443438
自上而下 L2 子意图,2026搜索,3,BIO_PROFILE_LOOKUP__4,1061,10.629132438389101,7.473165232078959
自上而下 L2 子意图,2026搜索,4,BARE_NAME_DEFAULT_LOOKUP__2,932,9.336806251252254,10.43490090977552
自上而下 L2 子意图,2026搜索,5,OUT_OF_SCOPE_OR_UNPARSEABLE__1,635,6.36145061109998,5.2152986375591945
自上而下 L2 子意图,2026搜索,6,BIO_PROFILE_LOOKUP__2,579,5.80044079342817,5.215324330900431
自上而下 L2 子意图,2026搜索,7,PLATFORM_DIRECTED_TASK__2,502,5.029052294129433,3.7021663854530473
自上而下 L2 子意图,2026搜索,8,BIO_PROFILE_LOOKUP__1,394,3.947104788619515,2.6508976354161127
自上而下 L2 子意图,2026搜索,9,BIO_PROFILE_LOOKUP__3,361,3.6165097174914846,3.56576043682791
自上而下 L2 子意图,2026搜索,10,PLATFORM_DIRECTED_TASK__1,359,3.5964736525746344,2.9476171866870464
自上而下 L2 子意图,2026搜索随机1w,1,BARE_NAME_DEFAULT_LOOKUP__5,1812,18.12,7.474369206212782
自上而下 L2 子意图,2026搜索随机1w,2,OUT_OF_SCOPE_OR_UNPARSEABLE__1,1271,12.71,8.379888268156426
自上而下 L2 子意图,2026搜索随机1w,3,BIO_PROFILE_LOOKUP__2,613,6.13,3.35195530726257
自上而下 L2 子意图,2026搜索随机1w,4,BARE_NAME_DEFAULT_LOOKUP__1,591,5.91,33.056050095156245
自上而下 L2 子意图,2026搜索随机1w,5,POST_TENURE_AND_MOVE_RESOLUTION__6,538,5.38,2.2622628767880166
自上而下 L2 子意图,2026搜索随机1w,6,PERSON_LIST_LOOKUP__1,443,4.43,2.0136288292712874
