a,b,why,n_a,n_b,tvd,cramers_v,n_sig_classes,emergent,receded,top_movers
2025search,2026search,时间（搜索内部，2025→2026）,9998,9999,0.1446,0.1798,13,0,0,查询金融资产实时行情 +10.1pp | 查找官方渠道与客服入口 -3.8pp | 进入个股股吧讨论区 +3.4pp | 其他或无法判定的非金融查询 -2.3pp | 计算具体金额或利率 -2.1pp
2026search,assistant_top,界面（同为头部流量）,9999,950,0.281,0.3314,10,0,0,查询金融资产实时行情 -13.9pp | 进入个股股吧讨论区 -13.9pp | 寻求个股买卖与持有决策建议 +8.1pp | 处置账户异常与非预期扣款 +5.9pp | 其他或无法判定的非金融查询 +3.1pp
assistant_top,assistant_random,深度（助手头部→长尾）,950,987,0.5254,0.5634,12,0,0,查询金融资产实时行情 -41.7pp | 寻求个股买卖与持有决策建议 +18.8pp | 解释金融术语与基础规则 +7.8pp | 其他或无法判定的非金融查询 +7.3pp | 获取市场动态与事件公告 +5.0pp
2026search,assistant_random,界面+深度（不可单独归因）,9999,987,0.7214,0.621,14,0,0,查询金融资产实时行情 -55.6pp | 寻求个股买卖与持有决策建议 +26.9pp | 进入个股股吧讨论区 -14.0pp | 其他或无法判定的非金融查询 +10.4pp | 解释金融术语与基础规则 +7.9pp
assistant_top,assistant_voice,输入方式（打字头部→语音）,950,1000,0.4104,0.4661,12,0,0,查询金融资产实时行情 -30.9pp | 获取银行或支付账户操作指引 +11.0pp | 解释金融术语与基础规则 +9.3pp | 计算具体金额或利率 +9.1pp | 查找官方渠道与客服入口 +3.4pp
assistant_random,assistant_voice,输入方式（打字长尾→语音）,987,1000,0.327,0.3643,12,0,0,寻求个股买卖与持有决策建议 -19.0pp | 查询金融资产实时行情 +10.8pp | 计算具体金额或利率 +6.5pp | 获取银行或支付账户操作指引 +6.5pp | 其他或无法判定的非金融查询 -4.8pp
